꧁꧂⎝⎝𒆜⫷༼✞PARADOX✞༽⫸𒆜⎠⎠꧁꧂#2083 | ID: 810735914782818354 | Created at: 2021-02-15 04:55:04.829000
Blai8#9108 | ID: 272021299772129281 | Created at: 2017-01-20 15:15:31.777000
DueUtil#3321 | ID: 213271889760616449 | Created at: 2016-08-11 12:26:20.919000
Marcuwus! 💙#0412 | ID: 215460977963958272 | Created at: 2016-08-17 13:25:00.218000
Groovy#7254 | ID: 234395307759108106 | Created at: 2016-10-08 19:23:16.224000
kepasaprimo#4254 | ID: 244107683475619840 | Created at: 2016-11-04 14:36:47.042000
Livesbass#6148 | ID: 268015877448925185 | Created at: 2017-01-09 13:59:24.678000
Dank Memer#5192 | ID: 270904126974590976 | Created at: 2017-01-17 13:16:17.026000
Xiximaru_40#2608 | ID: 271987291751186434 | Created at: 2017-01-20 13:00:23.633000
Caballosanex(230080954)#5724 | ID: 293786474430857216 | Created at: 2017-03-21 16:42:33.793000
Buh0#2811 | ID: 337683437165215746 | Created at: 2017-07-20 19:53:25.275000
Kazuo ≧◡≦#8679 | ID: 339751675684323331 | Created at: 2017-07-26 12:51:51.764000
FbSnakeV#6187 | ID: 364792195833921536 | Created at: 2017-10-03 15:13:56.998000
xaviim#0193 | ID: 485847711548047403 | Created at: 2018-09-02 16:25:21.047000
Trebla#8484 | ID: 494113281439694849 | Created at: 2018-09-25 11:49:46.476000
HUGO#5313 | ID: 612205241986973719 | Created at: 2019-08-17 08:45:03.913000
Subi23#7990 | ID: 615259495894876160 | Created at: 2019-08-25 19:01:34.790000
Jovaram#3045 | ID: 699366639078211705 | Created at: 2020-04-13 21:13:20.360000
Jova Ram#0715 | ID: 719256797067739136 | Created at: 2020-06-07 18:29:43.566000
Luchito22#5139 | ID: 751753888016760866 | Created at: 2020-09-05 10:41:33.815000
jovaram#9665 | ID: 772761703846903829 | Created at: 2020-11-02 09:59:07.415000
mariinaramirezz#3854 | ID: 776763236815994880 | Created at: 2020-11-13 10:59:47.220000
said k tbc#1814 | ID: 783657287007993856 | Created at: 2020-12-02 11:34:16.871000
Tonto quien lo lea#6772 | ID: 815423482966835220 | Created at: 2021-02-28 03:21:48.175000
olo#4603 | ID: 822252613260935219 | Created at: 2021-03-18 23:38:19.716000
